index,season,metric,value
0,2003-04,G,79.0
1,2004-05,G,80.0
2,2005-06,G,79.0
3,2006-07,G,78.0
4,2007-08,G,75.0
5,2008-09,G,81.0
6,2009-10,G,76.0
7,2010-11,G,79.0
8,2011-12,G,62.0
9,2012-13,G,76.0
10,2013-14,G,77.0
11,2014-15,G,69.0
12,2015-16,G,76.0
13,2016-17,G,74.0
14,2017-18,G,82.0
15,2018-19,G,55.0
16,2019-20,G,67.0
17,2020-21,G,45.0
18,2021-22,G,21.0
0,2003-04,G-accum,79.0
1,2004-05,G-accum,159.0
2,2005-06,G-accum,238.0
3,2006-07,G-accum,316.0
4,2007-08,G-accum,391.0
5,2008-09,G-accum,472.0
6,2009-10,G-accum,548.0
7,2010-11,G-accum,627.0
8,2011-12,G-accum,689.0
9,2012-13,G-accum,765.0
10,2013-14,G-accum,842.0
11,2014-15,G-accum,911.0
12,2015-16,G-accum,987.0
13,2016-17,G-accum,1061.0
14,2017-18,G-accum,1143.0
15,2018-19,G-accum,1198.0
16,2019-20,G-accum,1265.0
17,2020-21,G-accum,1310.0
18,2021-22,G-accum,1331.0
0,2003-04,G-total,1331.0
1,2004-05,G-total,1331.0
2,2005-06,G-total,1331.0
3,2006-07,G-total,1331.0
4,2007-08,G-total,1331.0
5,2008-09,G-total,1331.0
6,2009-10,G-total,1331.0
7,2010-11,G-total,1331.0
8,2011-12,G-total,1331.0
9,2012-13,G-total,1331.0
10,2013-14,G-total,1331.0
11,2014-15,G-total,1331.0
12,2015-16,G-total,1331.0
13,2016-17,G-total,1331.0
14,2017-18,G-total,1331.0
15,2018-19,G-total,1331.0
16,2019-20,G-total,1331.0
17,2020-21,G-total,1331.0
18,2021-22,G-total,1331.0
0,2003-04,G-pct,0.059353869271224644
1,2004-05,G-pct,0.06010518407212622
2,2005-06,G-pct,0.059353869271224644
3,2006-07,G-pct,0.058602554470323066
4,2007-08,G-pct,0.056348610067618335
5,2008-09,G-pct,0.0608564988730278
6,2009-10,G-pct,0.05709992486851991
7,2010-11,G-pct,0.059353869271224644
8,2011-12,G-pct,0.04658151765589782
9,2012-13,G-pct,0.05709992486851991
10,2013-14,G-pct,0.05785123966942149
11,2014-15,G-pct,0.051840721262208865
12,2015-16,G-pct,0.05709992486851991
13,2016-17,G-pct,0.05559729526671676
14,2017-18,G-pct,0.061607813673929375
15,2018-19,G-pct,0.04132231404958678
16,2019-20,G-pct,0.05033809166040571
17,2020-21,G-pct,0.033809166040571
18,2021-22,G-pct,0.015777610818933134
