index,season,metric,value
0,2003-04,G,79.0
1,2004-05,G,80.0
2,2005-06,G,79.0
3,2006-07,G,78.0
4,2007-08,G,75.0
5,2008-09,G,81.0
6,2009-10,G,76.0
7,2010-11,G,79.0
8,2011-12,G,62.0
9,2012-13,G,76.0
10,2013-14,G,77.0
11,2014-15,G,69.0
12,2015-16,G,76.0
13,2016-17,G,74.0
14,2017-18,G,82.0
15,2018-19,G,55.0
16,2019-20,G,67.0
17,2020-21,G,45.0
18,2021-22,G,21.0
0,2003-04,G,79.0
1,2004-05,G,80.0
2,2005-06,G,79.0
3,2006-07,G,78.0
4,2007-08,G,75.0
5,2008-09,G,81.0
6,2009-10,G,76.0
7,2010-11,G,79.0
8,2011-12,G,62.0
9,2012-13,G,76.0
10,2013-14,G,77.0
11,2014-15,G,69.0
12,2015-16,G,76.0
13,2016-17,G,74.0
14,2017-18,G,82.0
15,2018-19,G,55.0
16,2019-20,G,67.0
17,2020-21,G,45.0
18,2021-22,G,21.0
0,2003-04,G,79.0
1,2004-05,G,80.0
2,2005-06,G,79.0
3,2006-07,G,78.0
4,2007-08,G,75.0
5,2008-09,G,81.0
6,2009-10,G,76.0
7,2010-11,G,79.0
8,2011-12,G,62.0
9,2012-13,G,76.0
10,2013-14,G,77.0
11,2014-15,G,69.0
12,2015-16,G,76.0
13,2016-17,G,74.0
14,2017-18,G,82.0
15,2018-19,G,55.0
16,2019-20,G,67.0
17,2020-21,G,45.0
18,2021-22,G,21.0
0,2003-04,G,79.0
1,2004-05,G,80.0
2,2005-06,G,79.0
3,2006-07,G,78.0
4,2007-08,G,75.0
5,2008-09,G,81.0
6,2009-10,G,76.0
7,2010-11,G,79.0
8,2011-12,G,62.0
9,2012-13,G,76.0
10,2013-14,G,77.0
11,2014-15,G,69.0
12,2015-16,G,76.0
13,2016-17,G,74.0
14,2017-18,G,82.0
15,2018-19,G,55.0
16,2019-20,G,67.0
17,2020-21,G,45.0
18,2021-22,G,21.0
0,2003-04,G,79.0
1,2004-05,G,80.0
2,2005-06,G,79.0
3,2006-07,G,78.0
4,2007-08,G,75.0
5,2008-09,G,81.0
6,2009-10,G,76.0
7,2010-11,G,79.0
8,2011-12,G,62.0
9,2012-13,G,76.0
10,2013-14,G,77.0
11,2014-15,G,69.0
12,2015-16,G,76.0
13,2016-17,G,74.0
14,2017-18,G,82.0
15,2018-19,G,55.0
16,2019-20,G,67.0
17,2020-21,G,45.0
18,2021-22,G,21.0
0,2003-04,MP,3122.0
1,2004-05,MP,3388.0
